posts,companys,location,experience,description,links
Software Engineering (Python Rest API and CI/CD) ,JP Morgan Chase & Co., Hyderabad / Secunderabad Telangana , 13-16 years , About Us J.P. Morgan is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors. Our first-class business in a first-class ,https://www.monsterindia.com/job/software-engineering-python-rest-api-and-ci-cd-jp-morgan-chase-co-hyderabad-secunderabad-telangana-6774845?searchId=c45767ef-cc97-43a5-a736-fa804ddc7193
TCS Opportunity for Python with AWS - Pan India ,Tata Group, Bengaluru / Bangalore  , 6-9 years , TCS has been a great pioneer in feeding the fire of young techies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together. What we are looking for Experience Range:6+ years Location:Pan I ,https://www.monsterindia.com/job/tcs-opportunity-for-python-with-aws-pan-india-tata-group-bengaluru-bangalore-6770966?searchId=c45767ef-cc97-43a5-a736-fa804ddc7193
Network Automation - Software Engineer - Python ,JP Morgan Chase & Co., Bengaluru / Bangalore , 4-6 years , As a member of Core Networks product in the Network Product Line we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowle ,https://www.monsterindia.com/job/network-automation-software-engineer-python-jp-morgan-chase-co-bengaluru-bangalore-6128443?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Senior Validation Test Engineer(Python Perl & Storage Server) ,DELL, India  , 5-9 years , Job Description : Software Senior Engineer (I7) The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Our Enterprise Validation Engineering team takes charge of the testing evaluatio ,https://www.monsterindia.com/job/senior-validation-test-engineer-python-perl-storage-server-dell-india-6763532?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Software Engineer 2-Validation Testing(Python firmware; BIOS) ,DELL, India  , 3-5 years , Job Description : Software Engineer 2 (I6) The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Working at the cutting edge we design and develop software for platforms peripherals ,https://www.monsterindia.com/job/software-engineer-2-validation-testing-python-firmware-bios-dell-india-6763531?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Validation Test Engineer-Python Perl and Server Storage ,DELL, India  , 5-9 years , Job Description : Software Senior Engineer (I7) The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Our Enterprise Validation Engineering team takes charge of the testing evaluatio ,https://www.monsterindia.com/job/validation-test-engineer-python-perl-and-server-storage-dell-india-6763520?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Senior Full stack (Python with Angular) Developer Remote India ,Luxoft India Llp, Remote , 3-8 years , The project is part of a large portfolio of programs for one of the world's largest CPG. ,https://www.monsterindia.com/job/senior-full-stack-python-with-angular-developer-remote-india-luxoft-india-llp-remote-6793529?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Software Engineer - Python AWS ,Fulcrum Digital Private Limited, Pune , 2-4 years , Immediate Joiner for Software Engineer - Python AWS- Pune ,https://www.monsterindia.com/job/software-engineer-python-aws-fulcrum-digital-private-limited-pune-6172355?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Senior Spark & Big Data + Python + Java/Scala Developer (AVP) ,Citi, India  , 8-13 years , Job Description: Markets Data team is building the next generation Data fabric to solve for Business Analytics and growing regulatory needs. Vast amounts of data assets have been accumulated through the years. Data fabric built on emerging technolog ,https://www.monsterindia.com/job/senior-spark-big-data-python-java-scala-developer-avp-citi-india-6787693?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Python Developer Required In Canada | Australia ,Adal Immigrations LLP, Australia  , 2-12 years , Expertise in at least one popular Python framework(DjangoFlaskPyramid) ,https://www.monsterindia.com/job/python-developer-required-in-canada-australia-adal-immigrations-llp-australia-2951849?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Python+ Robo framework _Urvashi ,Arminus Software Private Limited, Bengaluru / Bangalore , Not Specified , Job Description : Job Description: : . 3-8 years of experience in Software development & Automation in python . Experienced in Robot framework should be able to write and understand complex Robot code . Good understanding and hands-on experience on ,https://www.monsterindia.com/job/python-robo-framework-urvashi-arminus-software-private-limited-bengaluru-bangalore-6237169?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
python developer ,ValueLabs LLP, India , 10-13 years , . We are looking for Python developer Responsibilities . A strong python developer with AWS experience.. Primary Skillset: Python AWS (Lambda Step Functions ECS) Secondary Skillset: DevOps - Jenkins Groovy Pipeline CICD Roles and Responsibili ,https://www.monsterindia.com/job/python-developer-valuelabs-llp-india-6227011?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Python Developer ,ValueLabs LLP, India , 5-8 years , . Python EmberJS mySQL Docker Kubernetes Responsibilities . Work with development teams and product managers to ideate software solutions and extend the existing application . Designing developing and testing web applications with Python Do ,https://www.monsterindia.com/job/python-developer-valuelabs-llp-india-6226999?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
IMMEDIATE REQUIRMENT ON JAVA PYTHON .Net Developer ,Sahasra Solutions, Hyderabad / Secunderabad Telangana , 0-2 years , We are looking for software developers in Hyderabad locations with open package. ,https://www.monsterindia.com/job/immediate-requirment-on-java-python-net-developer-sahasra-solutions-hyderabad-secunderabad-telangana-6695611?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Python Developer ,Resources Valley, Bengaluru / Bangalore  , 2-10 years , We are hiring for Python Developer with Django & Flask ,https://www.monsterindia.com/job/python-developer-resources-valley-bengaluru-bangalore-6746970?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Python Developer Required In Canada | Singapore ,Adal Immigrations LLP, Canada  , 2-10 years , Expertise in at least one popular Python framework(DjangoFlaskPyramid) ,https://www.monsterindia.com/job/python-developer-required-in-canada-singapore-adal-immigrations-llp-canada-6386059?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Software Engineering - Python ,JP Morgan Chase & Co., Mumbai , 3-6 years , As a member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise t ,https://www.monsterindia.com/job/software-engineering-python-jp-morgan-chase-co-mumbai-6744099?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
DevOPS Architect ,TATA Consultancy Services Ltd., India  , 5-12 years , Job Description Experience working on Linux based infrastructure Excellent understanding of Python Configuration and managing databases No SQL and SQL Working knowledge of various tools open-source technologies and cloud services Awareness of c ,https://www.monsterindia.com/seeker/cjt/job-vacancy-devops-architect-tata-consultancy-services-ltd-india-5-12-years-35124813?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Azure Data ,TATA Consultancy Services Ltd., India  , 10-15 years , Job Description -Previous experience as a data engineer or in a similar role -Must have experience with MS Azure services such as Data Lake Storage Data Factory Databricks HDInsight Azure SQL Database Azure Synapse Analytics Functions -Technic ,https://www.monsterindia.com/seeker/cjt/job-vacancy-azure-data-tata-consultancy-services-ltd-india-10-15-years-35551383?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Senior Software Engineer - FPS ,Rakuten India Enterprises Private Limited, Bengaluru / Bangalore  , 5-9 years , Job Description : Rakuten India is looking for a Senior Software Engineer to join our Fraud Prevention team! The team is responsible for the development quality assurance delivery in a timely fashion and maintenance of software solutions to proact ,https://www.monsterindia.com/job/senior-software-engineer-fps-rakuten-india-enterprises-private-limited-bengaluru-bangalore-5295833?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
TCS Opportunity for Python with AWS - Pan India ,TATA Consultancy Services Ltd., India  , 6-12 years , Job Description TCS has been a great pioneer in feeding the fire of young techies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together. What we are looking for Experience Range: 6+ ye ,https://www.monsterindia.com/seeker/cjt/job-vacancy-tcs-opportunity-for-python-with-aws-pan-india-tata-consultancy-services-ltd-india-6-12-years-36134027?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Python Data Engineer ,Harman Connected Services Corporation India Private Limited, India  , Not Specified , A Career at HARMAN As a technology leader that is rapidly on the move HARMAN is filled with people who are focused on making life better. Innovation inclusivity and teamwork are a part of our DNA. When you add that to the challenges we take on and ,https://www.monsterindia.com/seeker/cjt/job-vacancy-python-data-engineer-harman-connected-services-corporation-india-private-limited-india-0-50-years-34933087?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Python Test Engineer ,Harman Connected Services Corporation India Private Limited, India  , 3-5 years , A Career at HARMAN As a technology leader that is rapidly on the move HARMAN is filled with people who are focused on making life better. Innovation inclusivity and teamwork are a part of our DNA. When you add that to the challenges we take on and ,https://www.monsterindia.com/seeker/cjt/job-vacancy-python-test-engineer-harman-connected-services-corporation-india-private-limited-india-3-5-years-34933071?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Applied Scientist II Amazon Go ,Amazon, Bengaluru / Bangalore , 3-6 years , Job Description : Job summary The Team: Amazon One is a fast convenient contactless way for people to use their palm to make everyday activities like paying at a store presenting a loyalty card entering a location like a stadium or badging into ,https://www.monsterindia.com/job/applied-scientist-ii-amazon-go-amazon-bengaluru-bangalore-5272807?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Software Engineer - FPS ,Rakuten India Enterprises Private Limited, Bengaluru / Bangalore  , 3-6 years , Job Description : Rakuten India is looking for a Mid-Career Software Engineer to join Fraud Prevention team! The team is responsible for the development quality assurance delivery in a timely fashion and maintenance of software solutions to proact ,https://www.monsterindia.com/job/software-engineer-fps-rakuten-india-enterprises-private-limited-bengaluru-bangalore-5295825?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Software Engineer - AWS + Python + PySpark Job ,Yash Technologies Private Limited, Indore  , Not Specified , Job Description : We are looking forward to hireAWS+ Python + PySparkDeveloperswhothrive on challenges and desire to make a real difference in the business world. The shortlisted candidate should have strong communication interpersonal analytical ,https://www.monsterindia.com/job/software-engineer-aws-python-pyspark-job-yash-technologies-private-limited-indore-6747908?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Software Engineering - Python - VP ,JP Morgan Chase & Co., Mumbai , 12-15 years , As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge an ,https://www.monsterindia.com/job/software-engineering-python-vp-jp-morgan-chase-co-mumbai-6744135?searchId=f5db0067-f2a8-4c2d-a2b0-2d6e808eb5e7
Full Stack Developer , Company Name Confidential , Pune , 5-9 years , • As a Senior Full Stack Developer he should be comfortable around both front-end and back-end coding languages. • Develop the front-end design and architecture. • Construct the server-side back-end applications and architecture. ,https://www.monsterindia.com/job/full-stack-developer-pune-6775209?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Software Development Engineer RDS Postgres ,Amazon, Pune , 2-5 years , Job Description : Job summary The Amazon Relational Database Service is one of the fastest-growing Amazon businesses providing automated relational database management in the cloud. Customers can set up a new database with just a few clicks and co ,https://www.monsterindia.com/job/software-development-engineer-rds-postgres-amazon-pune-6274687?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
*Cloud Support Eng. II (SEC)* ,Amazon, Bengaluru / Bangalore , 2-5 years , Job Description : Job summary Amazon Web Services is the global market leader and technology forerunner in the Cloud business. As a member of the AWS Support team in Amazon Internet Services Private Limited (AISPL) you will be at the forefront of th ,https://www.monsterindia.com/job/cloud-support-eng-ii-sec-amazon-bengaluru-bangalore-6274669?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Lead Consultant ,Amazon, Hyderabad / Secunderabad Telangana , 8-11 years , Job Description : Job summary Amazon has built a reputation for excellence with recent examples of being named #1 in customer service #1 most trusted and #2 most innovative. Amazon has a fast-paced environment where we 'Work Hard Have Fun Make Hi ,https://www.monsterindia.com/job/lead-consultant-amazon-hyderabad-secunderabad-telangana-6274657?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Application Engineer RBS TECH ,Amazon, Bengaluru / Bangalore , 2-5 years , Job Description : Job summary Retail Business Services (RBS) supports Amazon's Retail business growth WW through three core tasks. These are (a) Selection where RBS sources creates and enrich ASINs to drive GMS growth (b) Defect Elimination: where ,https://www.monsterindia.com/job/application-engineer-rbs-tech-amazon-bengaluru-bangalore-6274666?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Business Analytics and Campaign Management ,DBS, Mumbai , 7-8 years , CBG As the leading bank in Asia DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business DBS has a full spectrum of products and services inclu ,https://www.monsterindia.com/job/business-analytics-and-campaign-management-dbs-mumbai-3441726?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Automotive Validation Engineer ,TATA Consultancy Services Ltd., India  , 2-6 years , Job Description Exp:- 2 to 6 years .Understanding of requirement management .Test Plan creation Test Scenario creation and Test execution .Working knowledge of CAN & Ethernet protocol NI LabView/Test Stand Dspace CANoe Canalyzer vTest Studio ,https://www.monsterindia.com/seeker/cjt/job-vacancy-automotive-validation-engineer-tata-consultancy-services-ltd-india-2-6-years-34714695?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Software Engineering (Python Rest API and CI/CD) ,JP Morgan Chase & Co., Hyderabad / Secunderabad Telangana , 13-16 years , About Us J.P. Morgan is a global leader in financial services providing strategic advice and products to the world's most prominent corporations governments wealthy individuals and institutional investors. Our first-class business in a first-class ,https://www.monsterindia.com/job/software-engineering-python-rest-api-and-ci-cd-jp-morgan-chase-co-hyderabad-secunderabad-telangana-6774845?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Sr Full stack developer ,Fulcrum Digital Private Limited, Pune , 7-12 years , • As a Senior Full Stack Developer he should be comfortable around both front-end and back-end coding languages. • Develop the front-end design and architecture. • Construct the server-side back-end applications and architecture ,https://www.monsterindia.com/job/sr-full-stack-developer-fulcrum-digital-private-limited-pune-6777298?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
TCS Opportunity for Python with AWS - Pan India ,Tata Group, Bengaluru / Bangalore  , 6-9 years , TCS has been a great pioneer in feeding the fire of young techies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together. What we are looking for Experience Range:6+ years Location:Pan I ,https://www.monsterindia.com/job/tcs-opportunity-for-python-with-aws-pan-india-tata-group-bengaluru-bangalore-6770966?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Network Automation - Software Engineer - Python ,JP Morgan Chase & Co., Bengaluru / Bangalore , 4-6 years , As a member of Core Networks product in the Network Product Line we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowle ,https://www.monsterindia.com/job/network-automation-software-engineer-python-jp-morgan-chase-co-bengaluru-bangalore-6128443?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Software Development Engineer  Amazon Lending ,Amazon, Bengaluru / Bangalore , 3-6 years , Job Description : Job summary Are you a driven Software Development Engineer who wants to have a direct impact on customers and the team Do you enjoy building flexible performant and extensible solutions for complex financial and risk problems As ,https://www.monsterindia.com/job/software-development-engineer-amazon-lending-amazon-bengaluru-bangalore-5272803?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Manager – Customer Acquisition ,Flipkart, Bengaluru / Bangalore , 3-6 years , Job Description : Manager - Customer Acquisition JD - Customer Acquisition Flipkart is an extremely dynamic company where things are moving at a scorching fast pace. Candidate would need to be able to adapt to and be comfortable with change and work ,https://www.monsterindia.com/job/manager-customer-acquisition-flipkart-bengaluru-bangalore-5616440?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Python Developer opportunity with MNC for Pune Bangalore location ,Talentflake Private Limited, Bengaluru / Bangalore  , 3-8 years , Python Developer opportunity with MNC for Pune Bangalore location ,https://www.monsterindia.com/job/python-developer-opportunity-with-mnc-for-pune-bangalore-location-talentflake-private-limited-bengaluru-bangalore-6762220?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Senior Validation Test Engineer(Python Perl & Storage Server) ,DELL, India  , 5-9 years , Job Description : Software Senior Engineer (I7) The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Our Enterprise Validation Engineering team takes charge of the testing evaluatio ,https://www.monsterindia.com/job/senior-validation-test-engineer-python-perl-storage-server-dell-india-6763532?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Software Engineer 2-Validation Testing(Python firmware; BIOS) ,DELL, India  , 3-5 years , Job Description : Software Engineer 2 (I6) The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Working at the cutting edge we design and develop software for platforms peripherals ,https://www.monsterindia.com/job/software-engineer-2-validation-testing-python-firmware-bios-dell-india-6763531?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Validation Test Engineer-Python Perl and Server Storage ,DELL, India  , 5-9 years , Job Description : Software Senior Engineer (I7) The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Our Enterprise Validation Engineering team takes charge of the testing evaluatio ,https://www.monsterindia.com/job/validation-test-engineer-python-perl-and-server-storage-dell-india-6763520?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
DevOps/Cloud DevOps ,TATA Consultancy Services Ltd., Hyderabad / Secunderabad Telangana  , 4-6 years , Job Description Desired Competencies (Technical/Behavioral Competency) 1.Experience in Dockar Kubernetes Jenkins. 2.Experience in any scripting language like Phyton Shell Scripting Java Script 3.Has experience with some kind of cloud computing ,https://www.monsterindia.com/seeker/cjt/job-vacancy-devops-cloud-devops-tata-consultancy-services-ltd-hyderabad-secunderabad-telangana-4-6-years-34492277?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Snowflake ,TATA Consultancy Services Ltd., Hyderabad / Secunderabad Telangana  , Not Specified , Job Description Desired Competencies (Technical/Behavioral Competency) Must-Have 1. Must have 5+ years of IT experience relevant experience of atleast 2 years in Snowflake. 2. In-depth understanding of Data Warehousing ETL concepts and mod ,https://www.monsterindia.com/seeker/cjt/job-vacancy-snowflake-tata-consultancy-services-ltd-hyderabad-secunderabad-telangana-0-50-years-34492355?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Business Intelligence Engineer CBA ,Amazon, Bengaluru / Bangalore , 2-5 years , Job Description : Job summary Hundreds of millions of customers billions of transactions petabytes of data… Are you excited to use the world's richest collection of e-commerce data to acquire new customers engage existing customers predict custom ,https://www.monsterindia.com/job/business-intelligence-engineer-cba-amazon-bengaluru-bangalore-6274677?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Business Analyst I AOP MENA ,Amazon, Hyderabad / Secunderabad Telangana , 2-5 years , Job Description : Job summary The AOP Analytics team based out of Hyderabad is looking for an innovative hands-on and customer obsessed Business Analyst. Candidate must be detail oriented have superior verbal and written communication skills stro ,https://www.monsterindia.com/job/business-analyst-i-aop-mena-amazon-hyderabad-secunderabad-telangana-6274583?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Business Intelligence Engineer ,Amazon, Hyderabad / Secunderabad Telangana , 2-5 years , Job Description : Job summary When you attract people who have the DNA of pioneers and the DNA of explorers you build a company of like-minded people who want to invent. And that's what they think about when they get up in the morning: how are we go ,https://www.monsterindia.com/job/business-intelligence-engineer-amazon-hyderabad-secunderabad-telangana-6274642?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
Regular q/KDB developer ,Luxoft India Llp, Bengaluru / Bangalore , 1-3 years , Experience in MATLAB R Python or other functional programming languages. Experience with 3rd generation trade capture systems like Murex/Calypso/WallStreet. ,https://www.monsterindia.com/job/regular-q-kdb-developer-luxoft-india-llp-bengaluru-bangalore-6793556?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
IMMEDIATE REQUIRMENT ON JAVA PYTHON .Net Developer ,Sahasra Solutions, Hyderabad / Secunderabad Telangana , 0-2 years , We are looking for software developers in Hyderabad locations with open package. ,https://www.monsterindia.com/job/immediate-requirment-on-java-python-net-developer-sahasra-solutions-hyderabad-secunderabad-telangana-6695611?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
QA Automation Engineer Remote India ,Luxoft India Llp, Remote , 3-8 years , The Automation Test Team is part of the core software solution services alongside DevOps. The team work across multiple software solutions each with their own automated build pipeline. ,https://www.monsterindia.com/job/qa-automation-engineer-remote-india-luxoft-india-llp-remote-6793536?searchId=fa78c09b-8b68-4fd3-83dc-164458888c14
